L_fuse,W_total,Stall_Speed,Max_Speed,ROC_Stall,SM_0,SM_dry,Result
4.503,19.5304929280545,50.683256256411,212.432432432432,73.2917190643186,0.0633042569105382,0.000808809065323213,FAIL
4.504,19.5306622173746,50.6834759158797,212.432432432432,73.2910009522618,0.0634138139919028,0.000913381054956419,FAIL
4.505,19.5308315051281,50.6836955723636,212.432432432432,73.2902828207932,0.0635233614701229,0.0010179416557603,FAIL
4.506,19.5310007913154,50.6839152258635,212.432432432432,73.2895646699471,0.06363289934562,0.0011224908683134,FAIL
4.507,19.5311700759372,50.6841348763801,212.432432432432,73.288846499758,0.0637424276188152,0.00122702869319358,FAIL
4.508,19.5313393589937,50.6843545239139,212.432432432432,73.2881283102601,0.0638519462901292,0.00133155513097782,FAIL
4.509,19.5315086404856,50.6845741684656,212.432432432432,73.2874101014876,0.0639614553599832,0.00143607018224512,FAIL
4.51,19.5316779204132,50.684793810036,212.432432432432,73.2866918734746,0.064070954828798,0.00154057384757256,FAIL
4.511,19.5318471987772,50.6850134486256,212.432432432432,73.2859736262554,0.0641804446969951,0.0016450661275389,FAIL
4.512,19.5320164755778,50.6852330842351,212.432432432432,73.2852553598641,0.0642899249649933,0.00174954702271946,FAIL
4.513,19.5321857508158,50.6854527168652,212.432432432432,73.2845370743346,0.0643993956332153,0.00185401653369366,FAIL
4.514,19.5323550244914,50.6856723465166,212.432432432432,73.2838187697009,0.0645088567020815,0.00195847466103838,FAIL
4.515,19.5325242966052,50.6858919731898,212.432432432432,73.2831004459971,0.0646183081720115,0.00206292140533071,FAIL
4.516,19.5326935671577,50.6861115968857,212.432432432432,73.282382103257,0.0647277500434256,0.0021673567671473,FAIL
4.517,19.5328628361493,50.6863312176047,212.432432432432,73.2816637415145,0.0648371823167454,0.00227178074706602,FAIL
4.518,19.5330321035805,50.6865508353476,212.432432432432,73.2809453608034,0.0649466049923909,0.00237619334566386,FAIL
4.519,19.5332013694519,50.686770450115,212.432432432432,73.2802269611574,0.0650560180707817,0.00248059456351701,FAIL
